destination,name,lat,lng,category,mapped_category,avg_visit_duration_mins,open_hour,close_hour,indoor_outdoor,estimated_cost,avg_rating,crowd_level
Tarkarli,Tarkarli Beach,16.0350,73.4900,beach,beach,120,06:00,19:00,outdoor,0,4.7,high
Tarkarli,Sindhudurg Sea Fort,16.0420,73.4630,fort,fort,180,08:00,17:30,outdoor,100,4.6,high
Tarkarli,Devbagh Sangam Point,15.9980,73.4960,beach,beach,90,06:00,18:30,outdoor,0,4.5,med
Tarkarli,Atithi Bamboo Malvani Dining,16.0360,73.4890,restaurant,restaurant,60,11:30,22:30,indoor,450,4.6,high
Tarkarli,Malvan Marine Reserve,16.0610,73.4610,park,park,150,09:00,17:00,outdoor,1500,4.3,high
Tarkarli,Malvan Rock Garden,16.0625,73.4645,park,park,60,16:00,20:00,outdoor,20,4.2,med
Sindhudurg,Vijaydurg Sea Fort,16.5624,73.3329,fort,fort,150,08:30,18:00,outdoor,50,4.7,med
Sindhudurg,Sindhudurg Fort Citadel,16.0420,73.4630,fort,fort,180,08:00,17:30,outdoor,100,4.7,high
Sindhudurg,Padmagad Island Fortress,16.0450,73.4610,fort,fort,90,09:00,17:00,outdoor,0,4.1,low
Sindhudurg,Chaitanya Seafood Hotel,16.0650,73.4620,restaurant,restaurant,60,11:00,22:00,indoor,400,4.5,high
Sindhudurg,Achara Mangrove Beach,16.2085,73.4442,beach,beach,120,06:00,19:00,outdoor,0,4.5,med
Sindhudurg,Chivla Beach Cove,16.0680,73.4615,beach,beach,90,06:00,19:00,outdoor,0,4.4,low
Kolhapur,Mahalakshmi Ambabai Temple,16.6953,74.2232,temple,temple,90,05:00,22:00,indoor,0,4.8,high
Kolhapur,Panhala Fort Ramparts,16.8115,74.1085,fort,fort,180,06:00,19:00,outdoor,30,4.7,high
Kolhapur,Rankala Lake Walkway,16.6890,74.2120,park,park,90,06:00,22:00,outdoor,0,4.5,high
Kolhapur,New Palace Shahu Museum,16.7185,74.2340,museum,museum,120,09:30,17:30,indoor,50,4.6,med
Kolhapur,Opal Kolhapuri Thali House,16.7020,74.2390,restaurant,restaurant,75,12:00,22:30,indoor,500,4.6,high
Kolhapur,Bhavani Mandap Chappal Market,16.6960,74.2240,market,market,90,10:00,21:00,outdoor,0,4.4,high
Solapur,Solapur Bhuikot Fort,17.6599,75.9064,fort,fort,90,09:00,18:00,outdoor,20,4.3,med
Solapur,Siddheshwar Temple Lake,17.6620,75.9040,temple,temple,75,05:00,21:30,indoor,0,4.6,high
Solapur,Great Indian Bustard Reserve Nannaj,17.8200,75.9200,park,park,180,06:00,18:00,outdoor,50,4.2,low
Solapur,Pundalik Shenoli Chivda Mess,17.6580,75.9020,restaurant,restaurant,45,08:00,21:00,indoor,200,4.5,med
Solapur,Solapur Textile Market,17.6650,75.9110,market,market,90,10:00,20:30,outdoor,0,4.1,high
Solapur,Great Indian Bustard Sanctuary Gate Nannaj,17.8100,75.9100,park,park,120,06:00,18:00,outdoor,50,4.3,low
Aurangabad,Ajanta Caves Art,20.5523,75.7004,museum,museum,240,09:00,17:00,indoor,600,4.9,high
Aurangabad,Ellora Kailasa Temple Cave,20.0268,75.1780,temple,temple,240,06:00,18:00,outdoor,600,4.9,high
